feature,shap_count,lime_count,shap_frequency,lime_frequency,combined_frequency
PAY_0,198,200,0.99,1.0,0.995
LIMIT_BAL,174,193,0.87,0.965,0.9175
PAY_AMT2,148,149,0.74,0.745,0.7425
PAY_AMT1,130,149,0.65,0.745,0.6975
BILL_AMT1,168,111,0.84,0.555,0.6975
MARRIAGE,68,175,0.34,0.875,0.6075
BILL_AMT6,73,164,0.365,0.82,0.5925
AGE,89,135,0.445,0.675,0.56
PAY_3,78,116,0.39,0.58,0.485
PAY_AMT6,90,72,0.45,0.36,0.405
PAY_2,104,46,0.52,0.23,0.375
BILL_AMT5,61,89,0.305,0.445,0.375
PAY_AMT3,140,5,0.7,0.025,0.3625
BILL_AMT3,70,63,0.35,0.315,0.3325
PAY_AMT4,79,43,0.395,0.215,0.305
BILL_AMT4,37,76,0.185,0.38,0.2825
BILL_AMT2,55,43,0.275,0.215,0.245
SEX,57,36,0.285,0.18,0.2325
PAY_AMT5,62,23,0.31,0.115,0.2125
PAY_4,16,56,0.08,0.28,0.18
PAY_6,38,33,0.19,0.165,0.1775
PAY_5,36,17,0.18,0.085,0.1325
EDUCATION,29,6,0.145,0.03,0.0875
