customer_index,age,shap_top3,lime_top3,jaccard_top3,shap_top5,lime_top5,jaccard_top5,shap_top10,lime_top10,jaccard_top10,age_group
0,29,"PAY_4, PAY_0, LIMIT_BAL","LIMIT_BAL, PAY_3, PAY_4",0.5,"PAY_4, PAY_0, LIMIT_BAL, PAY_3, PAY_6","LIMIT_BAL, PAY_3, PAY_4, PAY_0, BILL_AMT6",0.6666666666666666,"PAY_4, PAY_0, LIMIT_BAL, PAY_3, PAY_6, PAY_5, PAY_AMT6, PAY_AMT5, PAY_AMT3, MARRIAGE","LIMIT_BAL, PAY_3, PAY_4, PAY_0, BILL_AMT6, PAY_AMT6, PAY_5, MARRIAGE, PAY_6, PAY_AMT4",0.6666666666666666,Under 30
1,25,"PAY_0, LIMIT_BAL, BILL_AMT1","BILL_AMT1, PAY_0, BILL_AMT4",0.5,"PAY_0, LIMIT_BAL, BILL_AMT1, MARRIAGE, AGE","BILL_AMT1, PAY_0, BILL_AMT4, LIMIT_BAL, BILL_AMT2",0.42857142857142855,"PAY_0, LIMIT_BAL, BILL_AMT1, MARRIAGE, AGE, PAY_2, BILL_AMT3, PAY_AMT1, PAY_AMT6, SEX","BILL_AMT1, PAY_0, BILL_AMT4, LIMIT_BAL, BILL_AMT2, PAY_2, MARRIAGE, PAY_3, PAY_AMT1, AGE",0.5384615384615384,Under 30
2,29,"PAY_0, BILL_AMT1, PAY_AMT2","BILL_AMT6, PAY_0, BILL_AMT4",0.2,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT3, BILL_AMT3","BILL_AMT6, PAY_0, BILL_AMT4, BILL_AMT3, LIMIT_BAL",0.25,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT3, BILL_AMT3, PAY_AMT4, BILL_AMT6, AGE, PAY_AMT5, BILL_AMT4","BILL_AMT6, PAY_0, BILL_AMT4, BILL_AMT3, LIMIT_BAL, PAY_AMT2, BILL_AMT5, MARRIAGE, PAY_AMT6, PAY_3",0.3333333333333333,Under 30
3,26,"PAY_0, LIMIT_BAL, PAY_6","LIMIT_BAL, PAY_0, BILL_AMT6",0.5,"PAY_0, LIMIT_BAL, PAY_6, BILL_AMT1, AGE","LIMIT_BAL, PAY_0, BILL_AMT6, BILL_AMT5, PAY_3",0.25,"PAY_0, LIMIT_BAL, PAY_6, BILL_AMT1, AGE, PAY_AMT5, MARRIAGE, SEX, BILL_AMT6, PAY_2","LIMIT_BAL, PAY_0, BILL_AMT6, BILL_AMT5, PAY_3, AGE, MARRIAGE, PAY_6, EDUCATION, PAY_AMT6",0.42857142857142855,Under 30
4,29,"PAY_0, LIMIT_BAL, BILL_AMT1","PAY_0, BILL_AMT6, PAY_AMT2",0.2,"PAY_0, LIMIT_BAL, BILL_AMT1, PAY_2, SEX","PAY_0, BILL_AMT6, PAY_AMT2, LIMIT_BAL, PAY_AMT1",0.25,"PAY_0, LIMIT_BAL, BILL_AMT1, PAY_2, SEX, PAY_AMT3, PAY_AMT2, PAY_3, EDUCATION, PAY_AMT5","PAY_0, BILL_AMT6, PAY_AMT2, LIMIT_BAL, PAY_AMT1, MARRIAGE, PAY_AMT4, PAY_AMT5, PAY_3, PAY_2",0.42857142857142855,Under 30
5,24,"PAY_0, LIMIT_BAL, BILL_AMT1","PAY_0, LIMIT_BAL, PAY_AMT1",0.5,"PAY_0, LIMIT_BAL, BILL_AMT1, PAY_AMT3, PAY_AMT5","PAY_0, LIMIT_BAL, PAY_AMT1, MARRIAGE, BILL_AMT1",0.42857142857142855,"PAY_0, LIMIT_BAL, BILL_AMT1, PAY_AMT3, PAY_AMT5, PAY_2, MARRIAGE, PAY_6, PAY_AMT6, PAY_AMT4","PAY_0, LIMIT_BAL, PAY_AMT1, MARRIAGE, BILL_AMT1, AGE, PAY_4, PAY_AMT3, PAY_AMT2, BILL_AMT4",0.3333333333333333,Under 30
6,29,"PAY_0, BILL_AMT3, BILL_AMT1","PAY_AMT2, BILL_AMT1, PAY_AMT1",0.2,"PAY_0, BILL_AMT3, BILL_AMT1, PAY_AMT1, BILL_AMT4","PAY_AMT2, BILL_AMT1, PAY_AMT1, PAY_0, LIMIT_BAL",0.42857142857142855,"PAY_0, BILL_AMT3, BILL_AMT1, PAY_AMT1, BILL_AMT4, SEX, PAY_AMT2, PAY_2, PAY_AMT4, BILL_AMT5","PAY_AMT2, BILL_AMT1, PAY_AMT1, PAY_0, LIMIT_BAL, BILL_AMT4, BILL_AMT6, BILL_AMT5, MARRIAGE, PAY_3",0.42857142857142855,Under 30
7,23,"PAY_0, PAY_AMT1, LIMIT_BAL","LIMIT_BAL, PAY_3, PAY_AMT1",0.5,"PAY_0, PAY_AMT1, LIMIT_BAL, PAY_4, PAY_3","LIMIT_BAL, PAY_3, PAY_AMT1, PAY_0, PAY_AMT2",0.6666666666666666,"PAY_0, PAY_AMT1, LIMIT_BAL, PAY_4, PAY_3, PAY_AMT3, PAY_AMT4, PAY_AMT2, BILL_AMT1, PAY_AMT6","LIMIT_BAL, PAY_3, PAY_AMT1, PAY_0, PAY_AMT2, PAY_4, AGE, MARRIAGE, SEX, BILL_AMT3",0.42857142857142855,Under 30
8,25,"BILL_AMT4, PAY_0, PAY_AMT3","BILL_AMT6, BILL_AMT1, PAY_0",0.2,"BILL_AMT4, PAY_0, PAY_AMT3, PAY_AMT4, PAY_AMT6","BILL_AMT6, BILL_AMT1, PAY_0, PAY_AMT1, BILL_AMT4",0.25,"BILL_AMT4, PAY_0, PAY_AMT3, PAY_AMT4, PAY_AMT6, PAY_AMT1, AGE, PAY_AMT5, PAY_2, MARRIAGE","BILL_AMT6, BILL_AMT1, PAY_0, PAY_AMT1, BILL_AMT4, AGE, LIMIT_BAL, MARRIAGE, BILL_AMT3, PAY_AMT5",0.42857142857142855,Under 30
9,28,"PAY_0, BILL_AMT2, BILL_AMT5","PAY_0, BILL_AMT1, BILL_AMT6",0.2,"PAY_0, BILL_AMT2, BILL_AMT5, LIMIT_BAL, PAY_AMT3","PAY_0, BILL_AMT1, BILL_AMT6, LIMIT_BAL, MARRIAGE",0.25,"PAY_0, BILL_AMT2, BILL_AMT5, LIMIT_BAL, PAY_AMT3, BILL_AMT4, PAY_AMT6, PAY_AMT4, MARRIAGE, BILL_AMT1","PAY_0, BILL_AMT1, BILL_AMT6, LIMIT_BAL, MARRIAGE, AGE, BILL_AMT5, PAY_3, PAY_AMT6, SEX",0.42857142857142855,Under 30
